,complex_FB15k,complex_WN18,complex_FB15k-237,complex_WN18RR,conve_FB15k,conve_WN18,conve_FB15k-237,conve_WN18RR,transe_FB15k,transe_WN18,transe_FB15k-237,transe_WN18RR
data_poisoning,0.472,0.718,0.179,0.691,0.178,0.744,0.161,0.798,0.096,0.873,0.125,0.84
criage,0.083,0.071,0.069,0.204,0.056,0.187,0.041,0.21,0.0,0.0,0.0,0.0
k1,0.448,0.452,0.216,0.429,0.115,0.46,0.126,0.517,-0.006,0.697,0.152,0.77
kelpie,0.612,0.728,0.475,0.869,0.391,0.734,0.119,0.915,0.122,0.756,0.237,0.986
eXpath,0.613,0.812,0.474,0.874,0.259,0.873,0.323,0.937,0.111,0.775,0.225,0.696
data_poisoning+eXpath,0.655,0.839,0.486,0.873,0.338,0.891,0.369,0.938,0.217,0.92,0.416,0.943
criage+eXpath,0.619,0.812,0.483,0.883,0.299,0.873,0.38,0.937,0.0,0.0,0.0,0.0
k1+eXpath,0.641,0.813,0.489,0.873,0.325,0.873,0.365,0.94,0.2,0.866,0.396,0.935
kelpie+eXpath,0.684,0.843,0.598,0.926,0.459,0.881,0.348,0.956,0.255,0.877,0.355,0.989
eXpath(subset),0.714,0.846,0.543,0.939,0.53,0.894,0.591,0.966,0.419,0.894,0.665,1.0
data_poisoning(subset),0.508,0.748,0.189,0.741,0.274,0.762,0.308,0.82,0.347,0.898,0.286,0.873
data_poisoning+eXpath(subset),0.72,0.874,0.54,0.937,0.549,0.913,0.597,0.966,0.498,0.94,0.693,1.0
criage(subset),0.096,0.074,0.1,0.213,0.149,0.192,0.102,0.219,,,,
criage+eXpath(subset),0.714,0.846,0.543,0.942,0.541,0.894,0.591,0.966,,,,
k1(subset),0.495,0.471,0.236,0.459,0.144,0.471,0.256,0.528,0.092,0.728,0.355,0.846
k1+eXpath(subset),0.721,0.847,0.544,0.937,0.545,0.895,0.592,0.966,0.479,0.923,0.683,1.0
kelpie(subset),0.655,0.743,0.447,0.906,0.473,0.752,0.298,0.927,0.246,0.771,0.489,0.996
kelpie+eXpath(subset),0.738,0.863,0.588,0.967,0.6,0.902,0.597,0.968,0.47,0.911,0.618,1.0
